experiment,pavloviaSessionId,posixTimeSec,cursorPositionXYPx,crosshairPositionXYPx,targetPositionXYPx,blockNumber,block_condition,conditionNumber,conditionName,trialNumber,pxPerCm,viewingDistanceCm,screenWidthPx,screenHeightPx,nearpointXYPx,trialStep,targetBool,crosshairBool
trackingdemo5,SpicyYellowCake312,1738628116.986,"742,453","750,449",,4,4_1,1,Flies_8deg,1,51.39860139860139,42.2,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628117.017,"741,453","750,448",,4,4_1,1,Flies_8deg,1,51.39860139860139,42.2,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628117.036,"741,452","750,448",,4,4_1,1,Flies_8deg,1,51.39860139860139,42.2,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628117.052,"741,452","750,448",,4,4_1,1,Flies_8deg,1,51.39860139860139,42.2,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628117.085,"740,451","750,448",,4,4_1,1,Flies_8deg,1,51.39860139860139,42.2,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628117.099,"740,451","749,447",,4,4_1,1,Flies_8deg,1,51.39860139860139,42.2,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628117.115,"740,451","749,447",,4,4_1,1,Flies_8deg,1,51.39860139860139,42.2,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628117.151,"739,449","749,447",,4,4_1,1,Flies_8deg,1,51.39860139860139,42.2,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628117.163,"739,449","749,447",,4,4_1,1,Flies_8deg,1,51.39860139860139,42.2,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628117.179,"739,448","749,446",,4,4_1,1,Flies_8deg,1,51.39860139860139,42.2,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628117.218,"739,448","748,446",,4,4_1,1,Flies_8deg,1,51.39860139860139,42.2,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628117.226,"739,447","748,446",,4,4_1,1,Flies_8deg,1,51.39860139860139,41.8,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628117.244,"739,447","748,446",,4,4_1,1,Flies_8deg,1,51.39860139860139,41.8,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628117.285,"739,446","747,445",,4,4_1,1,Flies_8deg,1,51.39860139860139,41.8,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628117.292,"739,446","747,445",,4,4_1,1,Flies_8deg,1,51.39860139860139,41.8,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628117.31,"739,446","747,445",,4,4_1,1,Flies_8deg,1,51.39860139860139,41.8,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628117.344,"740,445","747,445",,4,4_1,1,Flies_8deg,1,51.39860139860139,41.8,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628117.36,"740,444","747,445",,4,4_1,1,Flies_8deg,1,51.39860139860139,41.8,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
