t1,t2,gazeXYPix_1,gazeXYPix_2,gazeXYDeg_1,gazeXYDeg_2
1718203035.54988,7207047,-2560,1440,-43.2641084572466,24.3360610072012
1718203035.56054,7207058,-2560,1440,-43.2641084572466,24.3360610072012
1718203035.56976,7207067,-2560,1440,-43.2641084572466,24.3360610072012
1718203035.58069,7207078,-2560,1440,-43.2641084572466,24.3360610072012
1718203035.59275,7207090,-2560,1440,-43.2641084572466,24.3360610072012
1718203035.60059,7207098,-2560,1440,-43.2641084572466,24.3360610072012
1718203035.60981,7207107,-2560,1440,-43.2641084572466,24.3360610072012
1718203035.62028,7207117,-2560,1440,-43.2641084572466,24.3360610072012
1718203035.63139,7207129,-2560,1440,-43.2641084572466,24.3360610072012
1718203035.64018,7207137,-2560,1440,-43.2641084572466,24.3360610072012
1718203035.64999,7207147,-2560,1440,-43.2641084572466,24.3360610072012
1718203035.6607,7207158,-2560,1440,-43.2641084572466,24.3360610072012
1718203035.67285,7207170,-2560,1440,-43.2641084572466,24.3360610072012
1718203035.67996,7207177,-2560,1440,-43.2641084572466,24.3360610072012
1718203035.69111,7207188,-2560,1440,-43.2641084572466,24.3360610072012
1718203035.70071,7207198,-2560,1440,-43.2641084572466,24.3360610072012
1718203035.71057,7207208,-2560,1440,-43.2641084572466,24.3360610072012
1718203035.72049,7207218,-2560,1440,-43.2641084572466,24.3360610072012
1718203035.73041,7207228,55,-622,0.929502330136158,-10.5118263517216
1718203035.74018,7207237,50,-558,0.845002118305598,-9.43022364029047
1718203035.75298,7207250,43,-461,0.726701821742814,-7.79091953077761
1718203035.76002,7207257,44,-410,0.743601864108926,-6.9290173701059
1718203035.7701,7207267,58,-347,0.980202457234494,-5.86431470104085
1718203035.78003,7207277,66,-296,1.11540279616339,-5.00241254036914
1718203035.78994,7207287,76,-267,1.28440321982451,-4.51231131175189
1718203035.80124,7207298,83,-241,1.40270351638729,-4.07291021023298
1718203035.81082,7207308,89,-230,1.50410377058396,-3.88700974420575
1718203035.82051,7207318,92,-228,1.5548038976823,-3.85320965947353
1718203035.833,7207330,93,-230,1.57170394004841,-3.88700974420575
1718203035.83985,7207337,92,-228,1.5548038976823,-3.85320965947353
1718203035.85097,7207348,79,-297,1.33510334692284,-5.01931258273525
1718203035.86032,7207358,40,-525,0.676001694644478,-8.87252224220878
1718203035.87089,7207368,-2560,1440,-43.2641084572466,24.3360610072012
1718203035.88055,7207378,-2560,1440,-43.2641084572466,24.3360610072012
1718203035.88994,7207387,-2560,1440,-43.2641084572466,24.3360610072012
1718203035.90086,7207398,-2560,1440,-43.2641084572466,24.3360610072012
1718203035.91181,7207409,-2560,1440,-43.2641084572466,24.3360610072012
1718203035.91994,7207417,-2560,1440,-43.2641084572466,24.3360610072012
1718203035.93078,7207428,-2560,1440,-43.2641084572466,24.3360610072012
1718203035.94031,7207438,-2560,1440,-43.2641084572466,24.3360610072012
1718203035.94983,7207447,-2560,1440,-43.2641084572466,24.3360610072012
1718203035.96063,7207458,-2560,1440,-43.2641084572466,24.3360610072012
1718203035.96995,7207467,-2560,1440,-43.2641084572466,24.3360610072012
1718203035.98069,7207478,-2560,1440,-43.2641084572466,24.3360610072012
1718203035.99275,7207490,-2560,1440,-43.2641084572466,24.3360610072012
1718203036.00077,7207498,-2560,1440,-43.2641084572466,24.3360610072012
1718203036.01004,7207507,-2560,1440,-43.2641084572466,24.3360610072012
1718203036.02033,7207518,-2560,1440,-43.2641084572466,24.3360610072012
1718203036.02978,7207527,-2560,1440,-43.2641084572466,24.3360610072012
1718203036.04067,7207538,-2560,1440,-43.2641084572466,24.3360610072012
1718203036.04996,7207547,-2560,1440,-43.2641084572466,24.3360610072012
1718203036.06074,7207558,-2560,1440,-43.2641084572466,24.3360610072012
1718203036.0726,7207570,-2560,1440,-43.2641084572466,24.3360610072012
1718203036.08069,7207578,-2560,1440,-43.2641084572466,24.3360610072012
1718203036.09011,7207587,-2560,1440,-43.2641084572466,24.3360610072012
1718203036.10041,7207598,36,-904,0.60840152518003,-15.2776382989652
1718203036.10981,7207607,28,-861,0.473201186251135,-14.5509364772224
1718203036.12059,7207618,19,-834,0.321100804956127,-14.0946353333374
1718203036.12978,7207627,17,-817,0.287300720223903,-13.8073346131135
1718203036.14052,7207638,26,-802,0.439401101518911,-13.5538339776218
1718203036.15257,7207650,42,-791,0.709801779376702,-13.3679335115946
1718203036.16051,7207658,51,-783,0.86190216067171,-13.2327331726657
1718203036.17004,7207667,58,-778,0.980202457234494,-13.1482329608351
1718203036.18079,7207678,60,-780,1.01400254196672,-13.1820330455673
1718203036.19012,7207687,58,-782,0.980202457234494,-13.2158331302996
1718203036.20071,7207698,57,-783,0.963302414868382,-13.2327331726657
1718203036.20999,7207707,55,-786,0.929502330136158,-13.283433299764
1718203036.22032,7207718,53,-787,0.895702245403934,-13.3003333421301
1718203036.23218,7207729,52,-790,0.878802203037822,-13.3510334692284
1718203036.24022,7207737,55,-790,0.929502330136158,-13.3510334692284
1718203036.25103,7207748,56,-792,0.94640237250227,-13.3848335539607
1718203036.26009,7207757,57,-793,0.963302414868382,-13.4017335963268
1718203036.2708,7207768,56,-792,0.94640237250227,-13.3848335539607
1718203036.28027,7207777,55,-791,0.929502330136158,-13.3679335115946
1718203036.29087,7207788,56,-788,0.94640237250227,-13.3172333844962
1718203036.30038,7207798,53,-788,0.895702245403934,-13.3172333844962
1718203036.3124,7207810,55,-789,0.929502330136158,-13.3341334268623
1718203036.32034,7207818,53,-789,0.895702245403934,-13.3341334268623
1718203036.32993,7207827,55,-786,0.929502330136158,-13.283433299764
